car,model,price,year,mileage,location
Toyota Prius,V4,30991,2016,3050,Los Angeles
Toyota Prius,V3,29513,2016,2601,Los Angeles
Toyota Prius,none,27998,2016,12628,Los Angeles
Toyota Prius,V3,24885,2016,12789,Los Angeles
Toyota Prius,V4,24788,2016,15870,Los Angeles
Toyota Prius,V3,23995,2016,19421,Los Angeles
Toyota Prius,V3,23991,2016,7858,Los Angeles
Toyota Prius,V3,23985,2016,16394,Los Angeles
Toyota Prius,V3,23885,2016,8560,Los Angeles
Toyota Prius,V4,22833,2014,29591,Los Angeles
Toyota Prius,V2,22000,2015,7500,Los Angeles
Toyota Prius,V5,21998,2014,17974,Los Angeles
Toyota Prius,V4,21988,2014,31787,Los Angeles
Toyota Prius,V2,21896,2016,13404,Los Angeles
Toyota Prius,V2,21000,2016,9500,Los Angeles
Toyota Prius,V3,20999,2014,34976,Los Angeles
Toyota Prius,V4,20995,2014,25803,Los Angeles
Toyota Prius,V2,20995,2015,31477,Los Angeles
Toyota Prius,V2,20995,2015,37493,Los Angeles
Toyota Prius,V3,20995,2014,38186,Los Angeles
Toyota Prius,V4,20989,2014,42434,Los Angeles
Toyota Prius,V4,20760,2014,20572,Los Angeles
Toyota Prius,V4,20599,2014,18885,Los Angeles
Toyota Prius,V2,20583,2016,14143,Los Angeles
Toyota Prius,V3,20580,2014,6570,Los Angeles
Toyota Prius,V4,20519,2014,32372,Los Angeles
Toyota Prius,V4,20477,2014,29024,Los Angeles
Toyota Prius,V4,20477,2014,30995,Los Angeles
Toyota Prius,V2,20295,2015,7424,Los Angeles
Toyota Prius,V4,20288,2014,26153,Los Angeles
Toyota Prius,V4,20277,2014,35977,Los Angeles
Toyota Prius,V4,20263,2014,23376,Los Angeles
Toyota Prius,V4,20126,2014,29226,Los Angeles
Toyota Prius,V2,20000,2016,11300,Los Angeles
Toyota Prius,V2,19999,2014,35031,Los Angeles
Toyota Prius,V4,19998,2014,28900,Los Angeles
Toyota Prius,V4,19998,2014,29989,Los Angeles
Toyota Prius,V5,19998,2013,37084,Los Angeles
Toyota Prius,V3,19995,2015,19644,Los Angeles
Toyota Prius,Regular,28495,2016,2016,Minneapolis
Toyota Prius,Three,25995,2016,1396,Minneapolis
Toyota Prius,Three,24311,2016,981,Minneapolis
Toyota Prius,Three,22755,2016,1988,Minneapolis
Toyota Prius,Two,22400,2016,211,Minneapolis
Toyota Prius,Two,21298,2016,2493,Minneapolis
Toyota Prius,Two,21096,2016,9351,Minneapolis
Toyota Prius,Two Eco,20493,2016,9239,Minneapolis
Toyota Prius,Two,19998,2016,11973,Minneapolis
Toyota Prius,Two,19995,2016,17543,Minneapolis
Toyota Prius,Two,19998,2016,13745,Minneapolis
Toyota Prius,Five,20998,2015,24671,Minneapolis
Toyota Prius,Three,19800,2015,19800,Minneapolis
Toyota Prius,Two,18985,2015,8066,Minneapolis
Toyota Prius,Persona SE,17997,2015,33401,Minneapolis
Toyota Prius,Two,17588,2015,26772,Minneapolis
Toyota Prius,Two,17500,2015,37778,Minneapolis
Toyota Prius,Two,16995,2015,41515,Minneapolis
Toyota Prius,Regular,16395,2015,44680,Minneapolis
Toyota Prius,Two,16295,2015,40534,Minneapolis
Toyota Prius,Two,15999,2015,46566,Minneapolis
Toyota Prius,Regular,15995,2015,46566,Minneapolis
Toyota Prius,Two,15888,2015,39400,Minneapolis
Toyota Prius,Two,15495,2015,44416,Minneapolis
Toyota Prius,Four,20998,2014,18163,Minneapolis
Toyota Prius,Regular,20995,2014,22304,Minneapolis
Toyota Prius,Regular,20998,2014,18163,Minneapolis
Toyota Prius,Five,20998,2014,24671,Minneapolis
Toyota Prius,Regular,20995,2014,22304,Minneapolis
Toyota Prius,Regular,18999,2014,44380,Minneapolis
Toyota Prius,Two,17999,2014,24495,Minneapolis
Toyota Prius,Three,17288,2014,29946,Minneapolis
Toyota Prius,Three,16588,2014,38303,Minneapolis
Toyota Prius,Two,16500,2014,32722,Minneapolis
Toyota Prius,Five,18985,2014,30293,Minneapolis
Toyota Prius,Regular,18999,2013,43392,Minneapolis
Toyota Prius,Regular,17977,2013,43462,Minneapolis
Toyota Prius,Three,17800,2013,26359,Minneapolis
Toyota Prius,Four,17485,2013,20971,Minneapolis
Toyota Prius,Two,15990,2013,44295,Minneapolis
Toyota Prius,Persona SE,15990,2013,34547,Minneapolis
Toyota Prius,Two,15800,2013,41532,Minneapolis
Toyota Prius,Three,14890,2013,35863,Minneapolis
Toyota Prius,Two,13988,2013,50161,Minneapolis
Toyota Prius,Three,13995,2013,96657,Minneapolis
Toyota Prius,Two,13995,2013,71648,Minneapolis
Toyota Prius,Two,12988,2013,74456,Minneapolis
Toyota Prius,Four,15495,2012,20478,Minneapolis
Toyota Prius,Four,12490,2012,61984,Minneapolis
Toyota Prius,Regular,12300,2012,63510,Minneapolis
Toyota Prius,Two,11299,2012,30249,Minneapolis
Toyota Prius,Two,10998,2012,39102,Minneapolis
Toyota Prius,Three,10990,2012,125875,Minneapolis
Toyota Prius,IV,16000,2011,49846,Minneapolis
Toyota Prius,V,13988,2011,13988,Minneapolis
Toyota Prius,II,10995,2011,67941,Minneapolis
Toyota Prius,II,10598,2011,89237,Minneapolis
Toyota Prius,II,10577,2011,98259,Minneapolis
Toyota Prius,Regular,9955,2011,94166,Minneapolis
Toyota Prius,Prius ,22990,2016,11028,New Orleans
Toyota Prius,Three,20599,2014,9690,New Orleans
Toyota Prius,Three Touring ,19078,2016,36141,New Orleans
Toyota Prius,Two,18999,2013,32254,New Orleans
Toyota Prius,Four,18998,2013,37623,New Orleans
Toyota Prius,Four,18900,2014,46781,New Orleans
Toyota Prius,One,17988,2015,24666,New Orleans
Toyota Prius,Two,16995,2015,49455,New Orleans
Toyota Prius,Four,16500,2015,41300,New Orleans
Toyota Prius,Prius ,16295,2015,49941,New Orleans
Toyota Prius,Two,15998,2014,35257,New Orleans
Toyota Prius,Five,15995,2015,36588,New Orleans
Toyota Prius,Two,15995,2014,45502,New Orleans
Toyota Prius,Two,15995,2015,48628,New Orleans
Toyota Prius,Two,15995,2014,48918,New Orleans
Toyota Prius,Three,15553,2015,69792,New Orleans
Toyota Prius,Persona,14990,2013,72246,New Orleans
Toyota Prius,Two,14948,2015,65847,New Orleans
Toyota Prius,Two,14749,2014,33848,New Orleans
Toyota Prius,Prius ,14650,2011,41460,New Orleans
Toyota Prius,Two,13998,2013,51809,New Orleans
Toyota Prius,Persona,13995,2013,78978,New Orleans
Toyota Prius,Three,13500,2013,86607,New Orleans
Toyota Prius,Prius ,12979,2013,87281,New Orleans
Toyota Prius,Two,12295,2012,88515,New Orleans
Toyota Prius,Two,12271,2013,78860,New Orleans
Toyota Prius,Prius ,11988,2012,82135,New Orleans
Toyota Prius,Two,11985,2012,88478,New Orleans
Toyota Prius,Prius ,11744,2013,76542,New Orleans
Toyota Prius,Two,9499,2011,116304,New Orleans
Toyota Prius,Two,8990,2012,115702,New Orleans
Toyota Prius,,8799,2011,105984,New Orleans
Toyota Prius,Three,5977,2011,178656,New Orleans
Toyota Prius,Three,25888,2016,2592,NYC
Toyota Prius,Three,25040,2013,11221,NYC
Toyota Prius,Three Touring,24800,2016,8262,NYC
Toyota Prius,Base,23900,2015,492,NYC
Toyota Prius,Base,23391,2016,5779,NYC
Toyota Prius,Two Eco,21495,2016,9287,NYC
Toyota Prius,Four,20988,2013,35943,NYC
Toyota Prius,Base,20791,2015,15826,NYC
Toyota Prius,Five,19992,2013,12306,NYC
Toyota Prius,Four,19990,2015,16863,NYC
Toyota Prius,Three,18997,2015,3522,NYC
Toyota Prius,Two,18702,2016,16116,NYC
Toyota Prius,Two,18649,2016,15110,NYC
Toyota Prius,Two,18391,2016,22137,NYC
Toyota Prius,Base,18291,2013,34482,NYC
Toyota Prius,Three,18217,2014,20057,NYC
Toyota Prius,Four,17990,2013,35899,NYC
Toyota Prius,Base,17891,2015,28586,NYC
Toyota Prius,Two,16999,2014,35968,NYC
Toyota Prius,Three,16995,2014,23253,NYC
Toyota Prius,Three,16995,2014,42867,NYC
Toyota Prius,Four,16990,2015,48286,NYC
Toyota Prius,Base,16891,2015,32318,NYC
Toyota Prius,Two,16495,2015,16255,NYC
Toyota Prius,Two,16300,2015,33680,NYC
Toyota Prius,Three,15998,2013,45676,NYC
Toyota Prius,Three,15995,2015,76846,NYC
Toyota Prius,Base,15790,2013,46732,NYC
Toyota Prius,Base,15391,2013,42838,NYC
Toyota Prius,Base,15291,2013,53748,NYC
Toyota Prius,Two,15212,2014,26271,NYC
Toyota Prius,Three,15000,2014,56488,NYC
Toyota Prius,Four,14999,2015,43583,NYC
Toyota Prius,Two,14988,2014,45396,NYC
Toyota Prius,Base,14891,2013,47372,NYC
Toyota Prius,Three,14850,2013,65861,NYC
Toyota Prius,Five,14771,2014,29550,NYC
Toyota Prius,Two,14450,2011,34857,NYC
Toyota Prius,Persona Series Se,13999,2013,50226,NYC
Toyota Prius,Two,13998,2014,44002,NYC
Toyota Prius,Four,26777,2016,6139,Phoenix 
Toyota Prius,Two Eco ,23999,2016,8565,Phoenix 
Toyota Prius,Four,23888,2014,29318,Phoenix 
Toyota Prius,Two ,22888,2016,7134,Phoenix 
Toyota Prius,Five ,22888,2013,55224,Phoenix 
Toyota Prius,Three ,19888,2014,31046,Phoenix 
Toyota Prius,Two,19888,2014,40843,Phoenix 
Toyota Prius,Two ,18888,2014,36849,Phoenix 
Toyota Prius,Two,18495,2015,19240,Phoenix 
Toyota Prius,Three ,17998,2014,19252,Phoenix 
Toyota Prius,Three ,17995,2014,26749,Phoenix 
Toyota Prius,Two ,17992,2014,30615,Phoenix 
Toyota Prius,Four,17906,2015,39708,Phoenix 
Toyota Prius,Two ,17898,2014,7131,Phoenix 
Toyota Prius,Two,17867,2014,34310,Phoenix 
